cat,area,perimeter,compact,opt_blue_min,opt_blue_max,opt_blue_range,opt_blue_mean,opt_blue_stddev,opt_blue_sum,opt_blue_median,opt_green_min,opt_green_max,opt_green_range,opt_green_mean,opt_green_stddev,opt_green_sum,opt_green_median,opt_nir_min,opt_nir_max,opt_nir_range,opt_nir_mean,opt_nir_stddev,opt_nir_sum,opt_nir_median,opt_red_min,opt_red_max,opt_red_range,opt_red_mean,opt_red_stddev,opt_red_sum,opt_red_median,NDVI_min,NDVI_max,NDVI_range,NDVI_mean,NDVI_stddev,NDVI_sum,NDVI_median,Brightness_min,Brightness_max,Brightness_range,Brightness_mean,Brightness_stddev,Brightness_sum,Brightness_median,nDSM_min,nDSM_max,nDSM_range,nDSM_mean,nDSM_stddev,nDSM_sum,nDSM_median
12596476,10.2500000002,15,1.3216741452,283,379,96,334.902439024,23.6238871237,13731,339.0,308,391,83,361.317073171,16.3415362212,14814,363.0,171,329,158,230.073170732,40.5765703415,9433,218.0,183,306,123,264.195121951,26.7866179842,10832,269.0,-0.226244345307,0.0769230797887,0.303167425096,-0.0731931552859,0.0668498641675,-3.00091936672,-0.0738255,818,1076,258,960.414634146,51.7856631491,39377,956.0,2.99526977539,3.04736328125,0.0520935058594,3.01260152677,0.0201302014873,123.516662598,2.99918
12654292,1249.49999998,889,7.09461281006,212,377,165,295.163865546,14.2064664255,1475229,295.0,265,554,289,414.085234094,25.2999915787,2069598,413.0,457,987,530,769.649259704,47.465562488,3846707,771.0,202,741,539,497.510804322,43.3797660777,2486559,497.0,0.0835913345218,0.396113604307,0.312522269785,0.215443766853,0.032926020967,1076.78794673,0.214798,684,1666,982,1206.75990396,80.6997804134,6031386,1204.0,-0.184417724609,1.22909545898,1.41351318359,0.0642433731305,0.165724559095,321.088378906,0.0
12575797,1105.49999996,477,4.04700809959,197,302,105,253.107869742,8.80518773803,1119243,253.0,239,450,211,364.788331072,15.755552085,1613094,365.0,723,1195,472,1017.1840796,49.5718442558,4497988,1021.0,139,455,316,318.955676165,24.4303684371,1410422,318.0,0.396551728249,0.695509314537,0.298957586288,0.522522245763,0.0310778054878,2310.59337077,0.524053,576,1197,621,936.851876979,46.4157318936,4142759,937.0,-0.0797119140625,3.27233886719,3.35205078125,0.129758354335,0.313293193373,573.791442871,0.0
12554670,548.749999968,354,4.26295809364,199,374,175,275.072437358,22.3421466785,603784,274.0,233,538,305,380.752164009,42.3635807466,835751,382.0,550,1106,556,851.887015945,89.1850268339,1869892,870.0,191,657,466,415.6,66.4752845982,912242,408.0,0.222222223878,0.529556632042,0.307334408164,0.346686021091,0.0421749941573,760.975816295,0.348579,623,1550,927,1071.42460137,128.506072238,2351777,1066.0,-0.156280517578,1.19384765625,1.35012817383,0.0526076888169,0.159775694531,115.473876953,0.0
12541165,21.2500000005,30,1.83584856981,283,484,201,349.588235294,32.1380456661,29715,347.0,336,661,325,418.352941176,47.454673329,35560,417.0,202,629,427,344.635294118,84.3636173406,29294,317.0,124,615,491,278.858823529,72.1767687802,23703,267.0,-0.0294627379626,0.291028439999,0.320491177961,0.106660535571,0.0707254026095,9.06614552357,0.104796,826,1760,934,1046.8,137.80581393,88978,1018.0,0.525573730469,1.31860351562,0.793029785156,0.759758085363,0.17810142377,64.5794372559,0.666382
12527959,2.75,9,1.53098603939,214,249,35,231.090909091,11.2124488077,2542,228.0,272,327,55,298.181818182,18.8043427374,3280,296.0,410,536,126,467.818181818,37.64382886,5146,463.0,221,318,97,266.363636364,32.0943855959,2930,262.0,0.199481859803,0.331334322691,0.131852462888,0.275769584558,0.0390770184886,3.03346543014,0.277778,709,888,179,795.636363636,61.6253677507,8752,788.0,3.46545410156,3.47952270508,0.0140686035156,3.47283935547,0.00399308783669,38.2012329102,3.47278
12606445,2721.24999996,1554,8.40353206313,213,394,181,333.098208544,15.0437793677,3625774,334.0,279,610,331,491.008911346,27.4822498954,5344632,492.0,480,1035,555,846.800551217,47.3820892228,9217424,849.0,231,814,583,640.815525953,47.6667284682,6975277,645.0,0.0618618614972,0.367123275995,0.305261414498,0.13904191933,0.0201460662241,1513.4712919,0.135691,723,1810,1087,1464.92264584,88.0300919798,15945683,1471.0,-0.165649414062,1.02734375,1.19299316406,0.052809100311,0.111072253223,574.827056885,0.0
12517603,27.4999999991,26,1.39862751903,320,398,78,372.854545455,15.9070232423,41014,375.5,459,605,146,556.890909091,30.898468763,61258,567.0,557,731,174,663.718181818,31.2422010103,73009,666.0,522,726,204,651.418181818,39.3352448525,71656,661.0,-0.0515151508152,0.0805316641927,0.132046815008,0.00974063110982,0.0207612445228,1.07146942208,0.00706629,1319,1725,406,1581.16363636,82.2242529221,173928,1603.0,2.11480712891,2.99475097656,0.879943847656,2.36485290527,0.209315718935,260.13381958,2.33492
12499479,11.0,14,1.19076691953,334,437,103,371.181818182,23.2997002783,16332,371.5,608,832,224,755.272727273,53.5071633422,33232,765.0,942,1281,339,1142.43181818,82.4895028383,50267,1156.5,826,1179,353,1031.90909091,83.4189367486,45404,1040.0,0.035849057138,0.0682178735733,0.0323688164353,0.0511724963276,0.00784677078133,2.25158983842,0.0500711,1778,2441,663,2158.36363636,153.773459542,94968,2173.5,-3.0517578125e-05,0.00100708007812,0.00103759765625,2.35817649148e-05,0.000150191988307,0.00103759765625,0.0
12480252,423.749999999,242,3.31631349637,216,297,81,244.912684366,9.83195312406,415127,244.0,286,425,139,342.064896755,16.7185774712,579800,342.0,736,1134,398,890.312094395,45.3527758633,1509079,888.0,230,464,234,314.293215339,27.4487376541,532727,313.0,0.354793548584,0.575809180737,0.221015632153,0.478626104829,0.0283325964405,811.271247685,0.478469,736,1186,450,901.27079646,52.7576342079,1527654,900.0,-0.165802001953,3.90179443359,4.06759643555,0.0825264269623,0.307923816241,139.882293701,0.0
