cat,Class_num,area,perimeter,compact,opt_blue_min,opt_blue_max,opt_blue_range,opt_blue_mean,opt_blue_stddev,opt_blue_sum,opt_blue_median,opt_green_min,opt_green_max,opt_green_range,opt_green_mean,opt_green_stddev,opt_green_sum,opt_green_median,opt_nir_min,opt_nir_max,opt_nir_range,opt_nir_mean,opt_nir_stddev,opt_nir_sum,opt_nir_median,opt_red_min,opt_red_max,opt_red_range,opt_red_mean,opt_red_stddev,opt_red_sum,opt_red_median,NDVI_min,NDVI_max,NDVI_range,NDVI_mean,NDVI_stddev,NDVI_sum,NDVI_median,Brightness_min,Brightness_max,Brightness_range,Brightness_mean,Brightness_stddev,Brightness_sum,Brightness_median,nDSM_min,nDSM_max,nDSM_range,nDSM_mean,nDSM_stddev,nDSM_sum,nDSM_median
16910321,32,1383.24999998,571,4.33092673333,217,414,197,304.961865173,25.2145356738,1687354,306.0,296,631,335,460.008313754,43.7870518895,2545226,462.0,647,1261,614,1043.68353515,68.3747301106,5774701,1044.0,294,714,420,499.970721128,69.7512417328,2766338,503.0,0.223570197821,0.516535460949,0.292965263128,0.354760992218,0.0478912530992,1962.89256994,0.35,859,1695,836,1264.94090005,135.458433141,6998918,1271.0,-0.120391845703,0.449859619141,0.570251464844,0.0216957311529,0.0582688644826,120.042480469,0.0
16912689,11,77.25,54,1.73316369731,218,360,142,302.242718447,28.8993788422,93393,313.0,241,490,249,412.896440129,50.0181418894,127585,433.0,247,857,610,580.317152104,90.5591926626,179318,602.0,65,506,441,331.084142395,61.0648711323,102305,331.0,0.0810810774565,0.583333313465,0.502252236009,0.275728919311,0.0632082955107,85.2002360672,0.283213,525,1318,793,1046.22330097,125.563011583,323283,1074.0,2.35305786133,5.81207275391,3.45901489258,4.13509983692,0.572526470082,1277.74584961,4.06021
16909519,33,3334.50000003,1487,7.26424821974,200,308,108,249.886489729,11.4847331804,3332986,249.0,230,425,195,327.84322987,21.3709554844,4372773,327.0,477,1053,576,675.96191333,47.1485313079,9015980,677.0,165,486,321,334.842780027,37.8890616785,4466133,334.0,0.152691975236,0.545012176037,0.392320200801,0.338391791295,0.0484195736651,4513.46971229,0.334036,605,1208,603,912.572499625,68.7750251039,12171892,909.0,-0.542999267578,2.48983764648,3.03283691406,0.698451811092,0.386268498232,9315.95025635,0.709549
16911105,32,2543.75000003,1008,5.63791321974,228,367,139,292.989090909,20.588018722,2981164,292.0,311,575,264,436.229189189,36.9578224717,4438632,434.0,756,1317,561,1083.76874693,66.6631481261,11027347,1085.0,276,745,469,466.954496314,65.6993643788,4751262,464.0,0.191535532475,0.568047344685,0.37651181221,0.399912481822,0.0501360911377,4069.10950254,0.399015,822,1679,857,1196.17277641,120.64658492,12171058,1189.0,-0.118804931641,1.12564086914,1.24444580078,0.0363418136709,0.0941741876354,369.777954102,0.0
16828863,22,969.249999991,863,7.81966159503,306,514,208,437.158885736,20.7247341532,1694865,438.0,453,802,349,696.348465308,34.2456051352,2699743,698.0,774,1360,586,1166.17539335,59.964146997,4521262,1167.0,495,1068,573,891.363425329,52.5806820345,3455816,896.0,0.0818345323205,0.276543200016,0.194708667696,0.133748364431,0.0193069385982,518.542408898,0.13052,1254,2347,1093,2024.87077637,101.870646634,7850424,2033.0,-0.186248779297,1.130859375,1.3171081543,0.0645651670962,0.14240066558,250.319152832,0.0
16909220,33,708.750000012,348,3.68746388884,247,320,73,286.907936508,8.93640023618,813384,286.0,299,462,163,399.997178131,15.9760400122,1133992,399.0,438,809,371,670.133333333,40.1292251233,1899828,667.0,304,576,272,474.778483245,26.7266579659,1345997,473.0,0.108800001442,0.317789286375,0.208989284933,0.17040373853,0.0270361927733,483.094598733,0.16726,850,1352,502,1161.68359788,50.0128490979,3293373,1159.0,-0.148010253906,1.00650024414,1.15451049805,0.0803598340016,0.146522306327,227.820129395,0.0
16888980,12,3.25,10,1.56478036351,185,241,56,210.153846154,16.6726222101,2732,211.0,214,312,98,260.153846154,29.9996055201,3382,266.0,460,715,255,556.076923077,63.5978489458,7229,542.0,145,311,166,222.615384615,48.4744793467,2894,224.0,0.35897436738,0.534246563911,0.175272196531,0.43418019093,0.0572888520707,5.64434248209,0.415144,546,864,318,692.923076923,94.873568937,9008,701.0,0.613983154297,0.683135986328,0.0691528320312,0.647568922776,0.0190350390573,8.41839599609,0.645691
16891856,32,2030.25,1565,9.79793717241,226,402,176,296.75076961,20.2488628314,2409913,296.0,278,572,294,431.539465583,35.9686026551,3504532,431.0,646,1210,564,942.322374092,71.850281838,7652600,943.0,292,717,425,480.427410417,54.7764433293,3901551,478.0,0.209979206324,0.476078420877,0.266099214554,0.325752722123,0.0372316717432,2645.43785636,0.324723,803,1645,842,1208.71764561,107.241629477,9815996,1206.0,-0.169555664062,2.54284667969,2.71240234375,0.114497146823,0.322215859912,929.831329346,0.0
16873950,34,1832.24999999,817,5.38424432949,206,328,122,259.507436212,13.3604471453,1901930,259.0,237,492,255,371.353117751,27.342419006,2721647,372.0,656,1219,563,997.518078865,62.3003936115,7310810,1000.0,166,572,406,342.90749079,43.1132238663,2513169,340.0,0.307909607887,0.606635093689,0.298725485802,0.489375767359,0.0437980509721,3586.63499898,0.491924,613,1379,766,973.768044754,81.2595027776,7136746,971.0,-0.170104980469,3.92944335938,4.09954833984,0.474293643609,0.670266698187,3476.09811401,0.118652
16880032,34,1132.00000001,706,5.9193845635,199,314,115,253.590768551,12.9383108742,1148259,254.0,249,457,208,351.767667845,26.8016928399,1592804,354.0,619,1263,644,978.83635159,71.88889478,4432171,980.0,147,490,343,306.538869258,40.4630146717,1388008,307.0,0.312046438456,0.69085174799,0.378805309534,0.52396011985,0.0432464200001,2372.49142268,0.523361,595,1261,666,911.897305654,78.3363501575,4129071,914.0,-0.185272216797,2.53204345703,2.71731567383,0.285242687266,0.292903368321,1291.57888794,0.207642
